department,Topic,Count,Name,Representation,Representative_Docs
MUMH: 8th Floor,0,48,0_nothing negative_nothing negative nothing_negative nothing negative_negative nothing,"['nothing negative', 'nothing negative nothing', 'negative nothing negative', 'negative nothing', '', '', '', '', '', '']","['Nothing negative', 'Nothing negative', 'Nothing negative']"
MUMH: 8th Floor,1,24,1_waiting on_waiting on meds_on meds_on meds waiting,"['waiting on', 'waiting on meds', 'on meds', 'on meds waiting', 'meds waiting on', 'meds waiting', '', '', '', '']","['Waiting on meds', 'Waiting on meds', 'Waiting on meds']"
MUMH: 8th Floor,2,24,2_lot of pain_because of procedure_of procedure_of pain because,"['lot of pain', 'because of procedure', 'of procedure', 'of pain because', 'of pain', 'pain because', 'lot of', 'experiencing a lot', 'experiencing a', 'because of']","['One patient was experiencing a lot of pain because of procedure', 'One patient was experiencing a lot of pain because of procedure', 'One patient was experiencing a lot of pain because of procedure']"
MUMH: 8th Floor,3,24,3_nurses were impatient_patient said_older nurses were_older nurses,"['nurses were impatient', 'patient said', 'older nurses were', 'older nurses', 'impatient and overworked', 'impatient and', 'and overworked', 'one patient said', 'were impatient and', 'patient said the']","['One patient said the older nurses were impatient, and overworked', 'One patient said the older nurses were impatient, and overworked', 'One patient said the older nurses were impatient, and overworked']"
MUMH: 8th Floor,4,24,4_her nurse_to wait a_a while for_while for her,"['her nurse', 'to wait a', 'a while for', 'while for her', 'while for', 'so one', 'so one patient', 'for her nurse', 'wait a', 'busy so one']","['Sometimes nurses were very busy so one patient had to wait a while for her nurse.', 'Sometimes nurses were very busy so one patient had to wait a while for her nurse.', 'Sometimes nurses were very busy so one patient had to wait a while for her nurse.']"
MUMH: 8th Floor,5,24,5_a food_was delivered incorrectly_a patient the_delivering the,"['a food', 'was delivered incorrectly', 'a patient the', 'delivering the', 'and it was', 'not fixed', 'and not fixed', 'delivered incorrectly', 'incorrectly and not', 'wasnt very kind']","['The person delivering the food wasn’t very kind to a patient; the patient requested a food, and it was delivered incorrectly and not fixed', 'The person delivering the food wasn’t very kind to a patient; the patient requested a food, and it was delivered incorrectly and not fixed', 'The person delivering the food wasn’t very kind to a patient; the patient requested a food, and it was delivered incorrectly and not fixed']"
MUMH: 8th Floor,6,24,6_busy to_were too busy_questions i had_too busy to,"['busy to', 'were too busy', 'questions i had', 'too busy to', 'too busy', 'to answer some', 'to answer', 'some questions i', 'answer some', 'answer some questions']","['Some nurses were too busy to answer some questions I had.', 'Some nurses were too busy to answer some questions I had.', 'Some nurses were too busy to answer some questions I had.']"
MUMH: 8th Floor,7,24,7_with their_was missing butter_was missing_their food,"['with their', 'was missing butter', 'was missing', 'their food', 'patient was missing', 'with their food', 'missing butter with', 'missing butter', 'butter with their', 'butter with']","['Patient was missing butter with their food.', 'Patient was missing butter with their food.', 'Patient was missing butter with their food.']"
MUMH: 8th Floor,8,24,8_in the_a hostile_room though_hostile patient,"['in the', 'a hostile', 'room though', 'hostile patient', 'patient in', 'go in', 'floor who was', 'didnt go in', 'didnt go', 'at the staff']","['There was a hostile patient in the floor who was yelling at the staff (I didn’t go in the room though).', 'There was a hostile patient in the floor who was yelling at the staff (I didn’t go in the room though).', 'There was a hostile patient in the floor who was yelling at the staff (I didn’t go in the room though).']"
MUMH: 8th Floor,9,24,9_ambassadors checked_ambassadors checked up_guest ambassadors checked_guest ambassadors,"['ambassadors checked', 'ambassadors checked up', 'guest ambassadors checked', 'guest ambassadors', 'for multiple days', 'for multiple', 'no guest', 'checked up on', 'checked up', 'multiple days']","['No guest ambassadors checked up on a patient for multiple days', 'No guest ambassadors checked up on a patient for multiple days', 'No guest ambassadors checked up on a patient for multiple days']"
MUMH: 8th Floor,10,24,10_never met the_orthopedic practitioner_only pas_never met,"['never met the', 'orthopedic practitioner', 'only pas', 'never met', 'met the actual', 'met the', 'actual orthopedic practitioner', 'actual orthopedic', 'theyve never met', 'practitioner only']","['Said they’ve never met the actual orthopedic practitioner, only PAs.', 'Said they’ve never met the actual orthopedic practitioner, only PAs.', 'Said they’ve never met the actual orthopedic practitioner, only PAs.']"
MUMH: 8th Floor,11,24,11_were slow_slow for some_slow for_were slow for,"['were slow', 'slow for some', 'slow for', 'were slow for', 'call bells were', 'call bells', 'bells were slow', 'bells were', 'some patients call', 'patients call bells']","['Call bells were slow for some patients.', 'Call bells were slow for some patients.', 'Call bells were slow for some patients.']"
MUMH: 8th Floor,12,24,12_her discharge delayed_patient kept getting_one patient kept_was very draining,"['her discharge delayed', 'patient kept getting', 'one patient kept', 'was very draining', 'kept getting her', 'kept getting', 'it was very', 'very draining', 'her discharge', 'getting her discharge']","['One patient kept getting her discharge delayed, it was very draining for her', 'One patient kept getting her discharge delayed, it was very draining for her', 'One patient kept getting her discharge delayed, it was very draining for her']"
MUMH: 8th Floor,13,24,13_no negative events_negative events_negative events there_events there were,"['no negative events', 'negative events', 'negative events there', 'events there were', 'events there', 'were no', 'there were no', 'were no negative', 'no negative', 'there were']","['There were no negative events.', 'There were no negative events.', 'There were no negative events.']"
MUMH: 8th Floor,14,24,14_requested foodsnack_receive it_patient requested foodsnack_requested foodsnack but,"['requested foodsnack', 'receive it', 'patient requested foodsnack', 'requested foodsnack but', 'foodsnack but didnt', 'foodsnack but', 'didnt receive it', 'didnt receive', 'but didnt receive', 'but didnt']","[""Patient requested food/snack but didn't receive it."", ""Patient requested food/snack but didn't receive it."", ""Patient requested food/snack but didn't receive it.""]"
MUMH: 8th Floor,15,24,15_add deodorant_to all of_all of_all of the,"['add deodorant', 'to all of', 'all of', 'all of the', 'couldnt add deodorant', 'add deodorant to', 'deodorant so', 'deodorant so i', 'deodorant to', 'deodorant to all']","['The stock room was out of deodorant, so I couldn’t add deodorant to all of the admission kits.', 'The stock room was out of deodorant, so I couldn’t add deodorant to all of the admission kits.', 'The stock room was out of deodorant, so I couldn’t add deodorant to all of the admission kits.']"
MUMH: 8th Floor,16,24,16_room told me_were too many_many already_make the admission,"['room told me', 'were too many', 'many already', 'make the admission', 'person who', 'kits because there', 'kits because', 'i shouldnt', 'because there were', 'because there']","['The person who restocks the supply room told me I shouldn’t make the admission kits because there were too many already.', 'The person who restocks the supply room told me I shouldn’t make the admission kits because there were too many already.', 'The person who restocks the supply room told me I shouldn’t make the admission kits because there were too many already.']"
MUMH: 8th Floor,17,24,17_ask them_theyre busy_can be_but maybe its,"['ask them', 'theyre busy', 'can be', 'but maybe its', 'because theyre busy', 'can be slightly', 'dismissive when', 'i ask', 'but maybe', 'its because theyre']","['Some nurses can be slightly dismissive when I ask them questions but maybe it’s because they’re busy.', 'Some nurses can be slightly dismissive when I ask them questions but maybe it’s because they’re busy.', 'Some nurses can be slightly dismissive when I ask them questions but maybe it’s because they’re busy.']"
MUMH: 8th Floor,18,24,18_it gets busy_have to_sometimes have to_sometimes have,"['it gets busy', 'have to', 'sometimes have to', 'sometimes have', 'patient sometimes have', 'patient sometimes', 'members when it', 'members when', 'when it gets', 'it gets']","['Patient sometimes have to wait for team members when it gets busy.', 'Patient sometimes have to wait for team members when it gets busy.', 'Patient sometimes have to wait for team members when it gets busy.']"
MUMH: 8th Floor,19,24,19_waiting for_patient ended up_nurse and the_just waiting for,"['waiting for', 'patient ended up', 'nurse and the', 'just waiting for', 'ended up', 'nurse and', 'contact the', 'and the patient', 'and the', 'able to contact']","['One patient was waiting for physical therapy. I wasn’t able to contact the nurse and the patient ended up just waiting for a while.', 'One patient was waiting for physical therapy. I wasn’t able to contact the nurse and the patient ended up just waiting for a while.', 'One patient was waiting for physical therapy. I wasn’t able to contact the nurse and the patient ended up just waiting for a while.']"
MUMH: 8th Floor,20,24,20_long for pain_have been waiting_so long for_waiting so long,"['long for pain', 'have been waiting', 'so long for', 'waiting so long', 'patients feel like', 'patients feel', 'pain medication', 'they have', 'long for', 'like they have']","['Sometimes patients feel like they have been waiting so long for pain medication.', 'Sometimes patients feel like they have been waiting so long for pain medication.', 'Sometimes patients feel like they have been waiting so long for pain medication.']"
MUMH: 8th Floor,21,24,21_really want to_want to bother_didnt really_have some,"['really want to', 'want to bother', 'didnt really', 'have some', 'even though i', 'felt that the', 'even though', 'with too many', 'may have some', 'questions even']","['Sometimes I felt that the nurses were very busy so I didn’t really want to bother them with too many questions, even though I may have some to ask.', 'Sometimes I felt that the nurses were very busy so I didn’t really want to bother them with too many questions, even though I may have some to ask.', 'Sometimes I felt that the nurses were very busy so I didn’t really want to bother them with too many questions, even though I may have some to ask.']"
MUMH: 8th Floor,22,24,22_30 minutes_restroom the tech_minutes to_minutes to use,"['30 minutes', 'restroom the tech', 'minutes to', 'minutes to use', '30 minutes to', 'little slow', 'a little slow', 'for 30 minutes', 'a little', 'wait for 30']","['A patient had to wait for 30 minutes to use the restroom, the tech was a little slow', 'A patient had to wait for 30 minutes to use the restroom, the tech was a little slow', 'A patient had to wait for 30 minutes to use the restroom, the tech was a little slow']"
MUMH: 8th Floor,23,24,23_room while they_were washing since_i could_into a patients,"['room while they', 'were washing since', 'i could', 'into a patients', 'into a', 'patients room while', 'i walked', 'i could come', 'could come in', 'could come']","['I walked into a patient’s room while they were washing, since they said I could come in.', 'I walked into a patient’s room while they were washing, since they said I could come in.', 'I walked into a patient’s room while they were washing, since they said I could come in.']"
MUMH: 8th Floor,24,24,24_not many patients_my assigned floor_periods of waiting_periods of,"['not many patients', 'my assigned floor', 'periods of waiting', 'periods of', 'patients were on', 'patients were', 'on my assigned', 'on my', 'of waiting since', 'of waiting']","['Long periods of waiting, since not many patients were on my assigned floor.', 'Long periods of waiting, since not many patients were on my assigned floor.', 'Long periods of waiting, since not many patients were on my assigned floor.']"
MUMH: 8th Floor,25,24,25_anything on_time for food_food for some_first day,"['anything on', 'time for food', 'food for some', 'first day', 'is so', 'waiting time for', 'long there', 'long there is', 'waiting time', 'of the patients']","['The waiting time for food for some of the patients is so long. There is one patient haven’t eat anything on the first day in hospital.', 'The waiting time for food for some of the patients is so long. There is one patient haven’t eat anything on the first day in hospital.', 'The waiting time for food for some of the patients is so long. There is one patient haven’t eat anything on the first day in hospital.']"
MUMH: 8th Floor,26,24,26_and most_much to do_do and most_it felt that,"['and most', 'much to do', 'do and most', 'it felt that', 'it felt', 'most patients', 'much to', 'felt that there', 'not much', 'do and']","['It felt that there was not much to do, and most patients did not seem to need anything.', 'It felt that there was not much to do, and most patients did not seem to need anything.', 'It felt that there was not much to do, and most patients did not seem to need anything.']"
MUMH: 8th Floor,27,24,27_wanted more foodsnacks_wanted more_more foodsnacks_and wanted more,"['wanted more foodsnacks', 'wanted more', 'more foodsnacks', 'and wanted more', 'more foodsnacks patient', 'foodsnacks patient was', 'foodsnacks patient', 'was hungry', 'patient was hungry', 'was hungry and']","['Patient was hungry and wanted more food/snacks', 'Patient was hungry and wanted more food/snacks', 'Patient was hungry and wanted more food/snacks']"
MUMH: 8th Floor,28,24,28_no negative interactions_negative interactions_negative interactions there_interactions there were,"['no negative interactions', 'negative interactions', 'negative interactions there', 'interactions there were', 'interactions there', 'were no', 'there were no', 'were no negative', 'no negative', 'there were']","['There were no negative interactions.', 'There were no negative interactions.', 'There were no negative interactions.']"
MUMH: 8th Floor,29,24,29_not administered on_administered on time_pain medicine was_on time,"['not administered on', 'administered on time', 'pain medicine was', 'on time', 'not administered', 'medicine was not', 'medicine was', 'complain that the', 'some complain that', 'complain that']","['Some complain that the pain medicine was not administered on time.', 'Some complain that the pain medicine was not administered on time.', 'Some complain that the pain medicine was not administered on time.']"
