department,Topic,Count,Name,Representation,Representative_Docs
MUMH: 8th Floor,0,18,0_our conversation_loved our conversation_loved our_our conversation loved,"['our conversation', 'loved our conversation', 'loved our', 'our conversation loved', 'conversation loved our', 'conversation loved', '', '', '', '']","['Loved our conversation', 'Loved our conversation', 'Loved our conversation']"
MUMH: 8th Floor,1,18,1_with many_patients and visitors_patients and_with many patients,"['with many', 'patients and visitors', 'patients and', 'with many patients', 'conversation with many', 'many patients and', 'many patients', 'and visitors', 'and visitors had', 'visitors had a']","['Had a nice conversation with many patients and visitors', 'Had a nice conversation with many patients and visitors', 'Had a nice conversation with many patients and visitors']"
MUMH: 8th Floor,2,18,2_the same_family lives_lives in the_lives in,"['the same', 'family lives', 'lives in the', 'lives in', 'in the same', 'the same area', 'i do', 'same area', 'whose family', 'family lives in']","['I had a nice conversation with a patient whose family lives in the same area as I do.', 'I had a nice conversation with a patient whose family lives in the same area as I do.', 'I had a nice conversation with a patient whose family lives in the same area as I do.']"
MUMH: 8th Floor,3,18,3_introduced themselves to_met a few_new nurses_introduced themselves,"['introduced themselves to', 'met a few', 'new nurses', 'introduced themselves', 'i met a', 'new nurses who', 'few new nurses', 'few new', 'a few new', 'nurses who']","['I met a few new nurses who introduced themselves to me.', 'I met a few new nurses who introduced themselves to me.', 'I met a few new nurses who introduced themselves to me.']"
MUMH: 8th Floor,4,18,4_small things_health care workers_health care_volunteers do,"['small things', 'health care workers', 'health care', 'volunteers do', 'things health care', 'things health', 'the small things', 'the small', 'and volunteers do', 'small things health']","['Patient appreciated the small things health care workers and volunteers do', 'Patient appreciated the small things health care workers and volunteers do', 'Patient appreciated the small things health care workers and volunteers do']"
MUMH: 8th Floor,5,18,5_efficient to cater_to cater to_efficient to_cater to patient,"['efficient to cater', 'to cater to', 'efficient to', 'cater to patient', 'cater to', 'patient needs', 'to cater', 'to patient', 'to patient needs', 'very efficient']","['Nurses were very efficient to cater to patient needs.', 'Nurses were very efficient to cater to patient needs.', 'Nurses were very efficient to cater to patient needs.']"
MUMH: 8th Floor,6,18,6_responsive nurses were_responsive nurses_and responsive nurses_were extremely kind,"['responsive nurses were', 'responsive nurses', 'and responsive nurses', 'were extremely kind', 'kind and responsive', 'extremely kind and', 'and responsive', 'were extremely', 'nurses were extremely', 'extremely kind']","['Nurses were extremely kind and responsive', 'Nurses were extremely kind and responsive', 'Nurses were extremely kind and responsive']"
MUMH: 8th Floor,7,18,7_almost 1 hour_about art for_for almost 1_spoke with a,"['almost 1 hour', 'about art for', 'for almost 1', 'spoke with a', 'spoke with', 'patient about art', 'art for almost', 'i spoke with', '1 hour', 'art for']","['I spoke with a patient about art for almost 1 hour.', 'I spoke with a patient about art for almost 1 hour.', 'I spoke with a patient about art for almost 1 hour.']"
MUMH: 8th Floor,8,18,8_printed the_connie remembered me_census sheet_and printed the,"['printed the', 'connie remembered me', 'census sheet', 'and printed the', 'and printed', 'me and printed', 'ms connie', 'ms connie remembered', 'connie remembered', 'printed the census']","['Ms Connie remembered me and printed the census sheet.', 'Ms Connie remembered me and printed the census sheet.', 'Ms Connie remembered me and printed the census sheet.']"
MUMH: 8th Floor,9,18,9_my questions i_friendly with me_were very friendly_with me and,"['my questions i', 'friendly with me', 'were very friendly', 'with me and', 'very friendly with', 'to answer my', 'me and willing', 'friendly with', 'answer my', 'answer my questions']","['Nurses were very friendly with me and willing to answer my questions I had.', 'Nurses were very friendly with me and willing to answer my questions I had.', 'Nurses were very friendly with me and willing to answer my questions I had.']"
